"Q","SERIES_CODE","total_search","sum_link","sum_linkCtg","total_codefix","total_tabcount","links_by_series"
"spring plunger",110300143170,98,80,31,1,14,6
"wrcbn",110200125050,2,1,0,1,2,1
"bronze bushings",110300031960,9,8,0,1,5,2
"timing pulley",110300406030,109,89,34,5,20,14
"timing pulley",110300406910,109,89,34,3,22,6
"t10 timing pulley",110300406910,2,8,0,0,12,3
"timing pulleys",110300406910,29,34,4,0,13,4
"timing pulley",110300406120,109,89,34,3,14,7
"timing pulley",110300406730,109,89,34,1,6,3
"timing pulley",110300405670,109,89,34,1,8,3
"timing pulley",110300413730,109,89,34,1,2,2
"timing pulley",110300406370,109,89,34,1,4,4
"timing pulley",110302193470,109,89,34,1,6,4
"timing pulley",110300405420,109,89,34,1,8,4
"key",110300253770,148,56,135,7,48,20
"key",110300254130,148,56,135,1,29,11
"key",110300253950,148,56,135,1,3,2
"ket10",110300253950,0,1,0,1,1,1
"key",110300253860,148,56,135,1,15,8
"flat head screw",110302281240,12,6,2,1,1,1
"gts",110300252640,3,1,0,1,2,1
"atlas25",110302196970,2,2,0,1,8,2
"atlas",110302196970,6,4,0,4,9,4
"atlas35",110302196970,5,3,0,3,12,3
"tbo-xl025-350",110300414430,9,3,0,2,4,3
"tbo-xl025-600",110300414430,3,1,0,1,1,1
"extrusion",110302370140,175,108,102,3,12,6
"extrusion",110302368920,175,108,102,9,22,13
"extrusion",110302368830,175,108,102,6,26,14
"extrusions",110302368740,56,38,27,3,17,8
"extrusion",110300458870,175,108,102,1,7,6
"extrusion",110302369620,175,108,102,1,10,7
"hfs5-2020-440",110302368740,9,8,0,7,16,8
"kegsz",110300254130,1,2,0,1,8,2
"pdsphc4h-1166-847-0.8-f1150-g790-n5-un10-xc8-yc9",110300494410,3,4,0,4,4,4
"pdsphc4h-847-200-0.8-f790-g180-n5-un10-xc48-yc8",110300494410,2,1,0,1,1,1
"pdsphc4h-1166-356-0.8-f1110-g340-n5-un10-xc8-yc8",110300494410,12,7,0,7,14,7
"wave washer",110300253250,9,7,0,3,20,7
"lhbb13",110300028730,1,1,0,1,5,1
"spring washer",110300268650,23,8,3,1,1,1
"latch",110302026350,76,37,9,2,4,2
"latch",110302367610,76,37,9,1,2,1
"latch",110302026260,76,37,9,1,2,1
"ms3-15",110100140620,1,2,0,0,2,2
"ms8-20",110100140620,1,3,0,2,3,3
"locating pin",110300558270,150,70,71,2,14,5
"locating pin",110300557930,150,70,71,1,9,6
"locating pin",110300558540,150,70,71,1,5,3
"locating pin",110300560910,150,70,71,1,2,1
"sjpqb",110300560910,2,1,0,1,2,1
"locating pins",110300557320,167,123,74,3,53,25
"bjpbpa5-6.35",110300557320,2,2,0,2,4,2
"locating pin",110300557320,150,70,71,1,39,17
"mwf",110100178240,3,1,0,1,2,1
"gutb",110300246070,34,22,0,13,50,22
"gutb6-8-20",110300246070,2,2,0,1,4,2
"pjh",110300142740,39,21,0,5,27,14
"pjh-n",110300142740,2,2,0,1,6,2
"pjh8",110300142740,3,1,0,1,1,1
"keys",110300253770,23,30,5,5,30,12
"keys",110300253950,23,30,5,1,4,1
"ket14",110300253950,1,1,0,1,4,1
"kegh12-30",110300253770,1,1,0,1,4,1
"keys",110300097060,23,30,5,1,2,1
"machine keys",110302490020,3,1,0,1,2,1
"keys",110302490020,23,30,5,1,2,1
"plate",110300538510,94,17,74,1,1,1
"plate",110300539120,94,17,74,1,4,1
"plate",110300538850,94,17,74,1,5,1
"bcas43",110300523540,1,1,0,1,1,1
"mstm5",110100141050,0,1,0,1,1,1
"ssbgdp12-135 price",110300024530,1,1,0,1,2,1
"ssel",110300042820,18,2,0,1,2,2
"sselbwv16-230",110300045710,1,1,0,1,6,1
"ssel2bwv16-230",110300045710,1,2,0,2,12,2
"sselbwv16-550",110300045710,1,1,0,1,6,1
"stw",110300258330,33,11,0,1,1,1
"spur gear",110300428340,60,56,14,2,10,7
"spur gear",110300428520,60,56,14,1,21,10
"spur gear",110300428430,60,56,14,3,28,9
"cpj-5lr10-400-r1.0",110200025220,1,1,0,1,1,1
"wsssh",110302398320,16,4,0,2,7,4
"scb",110300239250,59,16,0,4,29,14
"sfuc50-600.0-m12-sc100-lkc",110300000370,2,1,0,1,1,1
"scd",110300023040,13,4,0,1,5,4
"clkb",110300359650,4,2,0,2,4,2
"clkb10-5-30",110300359650,1,1,0,1,1,1
