"Q","cat_name_1","cat_name_2","cat_name_3","cat_name_4","cat_name_5","total_search","sum_link","sum_linkCtg","LinkCtg","total_codefix_linkCtg","ConvRate"
"pin","Locating, Positioning, Jigs & Fixtures","Other Locating Related Components","Clamping Screws",,,291,84,172,3,0,0.0103092783505155
"pin","Components/Peripheral Components","Components for Automobile Dies","Retainer Pins",,,291,84,172,3,0,0.0103092783505155
"pin","Components/Peripheral Components","Components for Guide Lifters","Lifter Pins",,,291,84,172,2,1,0.00687285223367698
"pin","Components/Peripheral Components","Components for Guide Lifters","Pushing Pins",,,291,84,172,2,0,0.00687285223367698
"pin","Components/Peripheral Components","Components for Automobile Dies","Link Components For Hemming Dies","Hinge Pins",,291,84,172,2,0,0.00687285223367698
"pin","Components/Peripheral Components","Components","Dowel Pins",,,291,84,172,2,0,0.00687285223367698
"pin","Components/Peripheral Components","Locating Components for Automobile Dies","Locating Pins",,,291,84,172,2,0,0.00687285223367698
"pin","Adjusting, Fastening,  Magnets","Retaining Rings, Pins, Machine Keys",,,,291,84,172,2,0,0.00687285223367698
"pin","Components/Peripheral Components","Locating Components for Automobile Dies","Push-Out Pins",,,291,84,172,2,0,0.00687285223367698
"pin","Rotary Power Transmission","Chains, Sprockets","Idler Pins",,,291,84,172,2,0,0.00687285223367698
"pin","Punches & Dies","Punches","Components for Punches","Jector Pin Sets",,291,84,172,2,0,0.00687285223367698
"pin","Leader Components, Components for Ejector Space","Leader Components","Support Pins",,,291,84,172,2,0,0.00687285223367698
"pin","Accessories, Others","Dowel Pins",,,,291,84,172,1,0,0.00343642611683849
"pin","Components/Peripheral Components","Inspection Jig Components","Locating Bars For Tapping Positions",,,291,84,172,1,0,0.00343642611683849
"pin","Leader Components, Components for Ejector Space","Components for Positioning","Tapered Pin Spacer",,,291,84,172,1,0,0.00343642611683849
"pin","Leader Components, Components for Ejector Space","Leader Components","Leader Pins",,,291,84,172,1,0,0.00343642611683849
"pin","Accessories, Others","Spring Guide Pins",,,,291,84,172,1,0,0.00343642611683849
"pin","Ejector Pins",,,,,291,84,172,1,0,0.00343642611683849
"pin","Pipe, Tubes, Hoses & Fittings","Resins, Ducts, Flexible Hoses","Piping Parts for Duct Hoses",,,291,84,172,1,0,0.00343642611683849
"pin","Core Pins","Straight Core Pins",,,,291,84,172,1,0,0.00343642611683849
"magnet","Components/Peripheral Components","Components","Magnets",,,226,70,316,108,26,0.47787610619469
"magnet","Accessories, Others","Magnets",,,,226,70,316,101,14,0.446902654867257
"magnet","Adjusting, Fastening,  Magnets","Magnets",,,,226,70,316,77,0,0.34070796460177
"magnet","Doors, Cabinet Hardware","Catches","Magnet Catches, Ball Catches",,,226,70,316,18,8,0.079646017699115
"magnet","Adjusting, Fastening,  Magnets",,,,,226,70,316,13,0,0.0575221238938053
"magnet","Mold Opening Controllers","Parting Lock Sets","Magnetic Lock Sets",,,226,70,316,11,1,0.0486725663716814
"magnet","Pneumatics, Hydraulics","Electromagnetic Valves",,,,226,70,316,2,0,0.00884955752212389
"magnet","Casters, Leveling Mounts, Posts, Cover Panels","Posts, Strut Clamps, Stands","Free Guide Arms, Magnet Bases",,,226,70,316,1,0,0.00442477876106195
"screw","Adjusting, Fastening,  Magnets","Screws, Washers, Nuts",,,,203,7,143,74,0,0.364532019704433
"screw","Aluminum Extrusions, Pipe Frames","Alunminum Extrusion and Brackets","Nuts, Bolts for Aluminum Extrusions","Screws",,203,7,143,24,1,0.118226600985222
"screw","Doors, Cabinet Hardware","Levers, Handles, Knobs","Knobs, Screws",,,203,7,143,11,2,0.0541871921182266
"screw","Linear Motion","Lead Screws, Slide Screws",,,,203,7,143,7,0,0.0344827586206897
"screw","Locating, Positioning, Jigs & Fixtures","Other Locating Related Components","Adjustment Screws",,,203,7,143,6,0,0.0295566502463054
"screw","Components/Peripheral Components","Components","Hexagon Socket Head Cap Screws",,,203,7,143,5,0,0.0246305418719212
"screw","Locating, Positioning, Jigs & Fixtures","Other Locating Related Components","Clamping Screws",,,203,7,143,5,0,0.0246305418719212
"screw","Linear Motion","Ball Screw",,,,203,7,143,2,0,0.00985221674876847
"screw","Locating, Positioning, Jigs & Fixtures","Manual Stages","Manual Stage - Peripheral Components","Micrometer Heads, Feed Screw",,203,7,143,2,0,0.00985221674876847
"screw","Linear Motion","Shaft Collars","Set Screw Fixed",,,203,7,143,2,0,0.00985221674876847
"screw","Locating, Positioning, Jigs & Fixtures","Other Locating Related Components","Leveling Screws",,,203,7,143,2,0,0.00985221674876847
"screw","Pipe, Tubes, Hoses & Fittings","Screw Fittings",,,,203,7,143,1,0,0.00492610837438424
"screw","Accessories, Others","Screws, Washers",,,,203,7,143,1,0,0.00492610837438424
"screw","Adjusting, Fastening,  Magnets","Washers, Collars","Metal Washers","With Screw Hole",,203,7,143,1,0,0.00492610837438424
"clamp","Locating, Positioning, Jigs & Fixtures","Clamp",,,,177,32,119,41,0,0.231638418079096
"clamp","Locating, Positioning, Jigs & Fixtures","Manual Stages","Manual Stage - Peripheral Components","Rods, Stands, Cross Clamps",,177,32,119,18,2,0.101694915254237
"clamp","Casters, Leveling Mounts, Posts, Cover Panels","Posts, Strut Clamps, Stands",,,,177,32,119,15,0,0.0847457627118644
"clamp","Pipe, Tubes, Hoses & Fittings","Resins, Ducts, Flexible Hoses","Hose Clamps",,,177,32,119,14,4,0.0790960451977401
"clamp","Doors, Cabinet Hardware","Levers, Handles, Knobs","Lever","Clamp Levers",,177,32,119,10,5,0.0564971751412429
"clamp","Pneumatics, Hydraulics","Cylinders, Rotary Actuators","Clamp Cylinders",,,177,32,119,8,1,0.0451977401129944
"clamp","Guide Components","Stripper Guide Pins and Bushings","Components For Stripper Guide Pins & Bushings","Clamps For Stripper Guide Pins",,177,32,119,7,5,0.0395480225988701
"clamp","Components/Peripheral Components","Components for Automobile Dies","Die Clamping And Adjustment Components",,,177,32,119,5,0,0.0282485875706215
"clamp","Locating, Positioning, Jigs & Fixtures","Other Locating Related Components","Clamping Screws",,,177,32,119,1,0,0.00564971751412429
"hinge","Doors, Cabinet Hardware","Handles, Hinges",,,,176,4,97,43,0,0.244318181818182
"hinge","Pneumatics, Hydraulics","Cylinder Connecting Components","Hinge Bases",,,176,4,97,38,14,0.215909090909091
