"Q","total_search","sum_linkCtg","sum_link","total_codefix"
"kbl",26,0,0,3
"rack and pinion",26,0,5,1
"handwheel",26,0,39,5
"grommet",26,0,0,0
"hex nut",26,18,8,0
"psfg",25,0,14,13
"alnb-40.5-40.5-22",25,0,0,1
"lhfc",25,0,16,14
"lhf",25,0,3,19
"wss",25,0,8,10
"fb",25,0,6,9
"ssfj",25,0,14,10
"jb",25,0,2,12
"worm gear",25,12,12,2
"vacuum",25,7,6,3
"linear guides",25,14,15,1
"linear rail",25,2,13,2
"jis",25,0,1,2
"hxcw",25,0,0,0
"cap screw",25,23,1,0
"sensor",25,16,4,0
"oring",25,0,0,0
"stfhn",24,0,14,7
"psfjw",24,0,18,9
"geakbb",24,0,0,7
"clb",24,0,0,8
"v",24,0,0,7
"cimrs",24,0,19,7
"bssc",24,0,2,6
"locating",24,9,3,1
"lvbm",24,0,12,8
"hblss5",24,0,22,13
"vibration",24,10,23,3
"mr",24,0,0,3
"swsps",24,0,17,5
"fitting",24,13,7,0
"posts",24,12,8,0
"punch",24,17,15,0
"shaft coupler",24,0,0,0
"drill bushing",24,0,0,0
"clamp collar",24,0,19,0
"kjb",23,0,5,5
"kes",23,0,9,6
"swr",23,0,13,8
"px",23,0,1,12
"aws",23,0,12,9
"hose",23,11,3,3
"spring washer",23,3,8,1
"sjp",23,0,1,7
"msh",23,0,9,9
"keys",23,5,30,6
"bg",23,0,0,12
"rohs",23,0,5,1
"htpm",23,0,1,7
"etk",23,0,2,4
"dwssb",23,0,8,5
"rbbw",23,0,13,8
"gt2",23,0,0,1
"sth",23,0,1,12
"dwsss",23,0,11,7
"hau",23,0,5,9
"fpbta",23,0,16,8
"clutch",23,3,11,4
"hfc",23,0,0,10
"hh",23,0,0,10
"ball bearings",23,15,7,1
"link",23,5,15,4
"hfc5-2040-b",23,0,14,11
"locator pin",23,7,23,2
"shaft clamp",23,0,19,2
"extruded aluminum",23,0,6,2
"o ring",23,18,0,0
"t slot",23,1,1,0
"spring plungers",23,4,12,0
"bsp",22,0,2,12
"stehn10",22,0,15,4
"ur",22,0,3,7
"drc",22,0,6,13
"mssf",22,0,8,12
"kjpg",22,0,4,4
"swu",22,0,7,6
"fws",22,0,13,8
"twssb",22,0,10,8
"shbr",22,0,17,11
"hntt8-8",22,0,18,10
"ss400",22,0,7,2
"srbn",22,0,5,10
"bssr",22,0,7,6
"clbu",22,0,9,7
"fp",22,0,1,8
"unah",22,0,10,11
"mc04",22,0,4,12
"cap",22,4,7,1
"kba",22,0,0,1
"rubber bumper",22,1,45,4
"leveling feet",22,15,0,1
"flange bearing",22,0,22,1
"linear shafts",22,1,13,2
"lead screws",22,4,23,1
"hfs3",22,0,7,8
"wire",22,4,3,0
"slides",22,22,4,0
"hinge pin",21,15,0,1
"lx30",21,0,9,6
"mdz",21,0,0,5
"hxm",21,0,2,6
"gmsb",21,0,7,6
"hfs5-2020-300",21,0,21,16
"mstp",21,0,14,6
"tun",21,0,1,6
"hblfsn",21,0,5,15
"sfb",21,0,5,2
"ssfjw",21,0,9,7
"fpsta",21,0,11,5
"hfsf",21,0,2,8
"htp",21,0,0,3
"hblfs",21,0,7,16
"pcta",21,0,15,10
"cimr",21,0,9,6
"hc",21,0,3,8
"mac",21,0,8,11
"stop screw",21,0,26,5
"t nut",21,8,2,1
"lp",21,0,2,8
"sfjz",21,0,12,9
"pusher",21,7,8,3
"lever",21,9,3,2
"mtwz",21,0,16,15
"rotary",21,17,2,1
"micrometer",21,8,10,5
"ma",21,0,2,3
"makc",21,0,9,10
"fs",21,0,0,1
"hand wheel",21,0,23,5
"epn",21,0,10,3
"l bracket",21,19,7,1
"kbls",21,0,0,1
"flanged bushing",21,2,14,3
"ceramic",21,5,14,1
"rorgs",21,0,3,3
"fep",21,0,4,0
"plates",21,26,2,0
"tensioner",21,15,8,0
"precision pivot pins",21,0,25,0
"bsteh",20,0,8,12
"stainless steel",20,10,1,2
"hfs5-2020-340",20,0,18,12
"gbn",20,0,0,4
"hcdg",20,0,14,12
"shbz",20,0,16,3
"u-sfj",20,0,9,5
"hxcc",20,0,0,2
"clbub",20,0,13,9
"hblts5",20,0,17,9
"stops",20,9,6,2
"shhps",20,0,6,6
"fwssbh",20,0,15,6
"ahtfw",20,0,1,8
"conveyors",20,12,8,1
"hfs6-3030",20,0,21,8
"ssebw",20,0,9,9
"bar",20,6,6,1
"lsbwrk",20,0,6,8
"jbaf",20,0,12,6
"stp",20,0,1,4
"shaft supports",20,7,6,1
"sj",20,0,1,4
"wy",20,0,8,9
"gb",20,0,0,2
"switch",20,14,5,1
"swivel",20,0,7,1
"ball screws",20,4,15,2
"jam nut",20,0,0,0
"joint",20,10,9,0
"detent",20,0,0,0
"indexing plunger",20,1,18,0
"key stock",20,0,0,0
"lx26",19,0,11,5
"ked",19,0,9,6
"bearing shaft",19,0,15,2
"-",19,0,0,5
"lfb",19,0,6,5
"wssb20",19,0,3,10
"fjt",19,0,5,8
"geak",19,0,0,6
"fsfj",19,0,0,7
"mhpks",19,0,7,10
"anb",19,0,6,9
"pj",19,0,0,8
"cp",19,0,0,6
"hblfs6",19,0,15,14
"strb",19,0,11,5
"bellows",19,0,18,2
"mst",19,0,4,10
"cbsts",19,0,5,9
"srt",19,0,1,2
"plungers",19,8,9,1
"mpfz",19,0,11,10
"eb13",19,0,8,5
"mlm",19,0,3,5
"universal joint",19,0,23,5
"ysbp",19,0,0,2
"spur gears",19,4,20,3
"netw",19,0,12,7
"extension spring",19,0,18,3
"fasteners",19,3,0,0
"mgp",19,0,2,0
"level",19,9,12,0
"bush",19,4,3,0
"kbab",19,0,0,0
"belts",19,11,0,0
"sfaa",18,0,5,6
"lhfr",18,0,8,8
"lx45",18,0,9,2
"psfu",18,0,4,7
"sfjs",18,0,10,4
"ccg",18,0,7,5
"pssfg",18,0,6,8
"aj",18,0,1,4
"kblb",18,0,0,1
"maks",18,0,11,4
"linear stage",18,0,19,6
"gfs8",18,0,12,14
"ssel",18,0,2,6
"htla",18,0,1,10
"e",18,0,0,5
"lpalj",18,0,2,4
"cdgh",18,0,10,10
"sg",18,0,0,7
"acme screw",18,0,0,1
"mcslc",18,0,7,5
"cph",18,0,8,6
"timing belts",18,4,8,4
"ssp",18,0,0,4
"hnte",18,0,0,1
"bs",18,0,0,5
"wssbh",18,0,14,5
"inserts",18,11,3,1
"cf",18,0,1,3
"mpfzu",18,0,10,8
"as",18,0,0,4
"hntt5-5",18,0,13,13
"precision linear shaft",18,0,21,2
"spring anchor",18,0,22,3
"shs",18,1,2,7
"gib",18,0,30,3
"kbln",18,0,0,1
"hblfsnb5",18,0,10,5
"rails",18,8,6,1
"rotary shafts",18,4,12,2
"catch",18,0,16,3
"mykp",18,0,6,7
"spring loaded",18,0,8,0
"turntable",18,0,0,0
"lock nut",18,6,5,0
"sha",17,0,5,6
"sus",17,0,1,5
"ste",17,0,2,9
"sm",17,0,0,7
"cbdbr",17,0,6,4
"sccn",17,0,5,4
"ror",17,0,1,10
"rtwn",17,0,10,8
"lsb",17,0,1,9
"lhirw",17,0,3,7
"lhss",17,0,9,10
"scsp",17,0,8,9
"axfl",17,0,4,8
"bspo",17,0,7,6
