"Q","cat_name_1","cat_name_2","cat_name_3","cat_name_4","cat_name_5","SERIES_CODE","total_search","sum_link","sum_linkCtg","LinkCtg","total_codefix_linkCtg"
"bearing","Rotary Motion","Other Bearing Related Components",,,,110300108440,388,44,250,1,1
"bearing","Antivibration, Soundproofing Materials, Safety Products","Wires, Chains, Metal Fittings, Small Work Pieces","Parts, Small Work Pieces","Bearing Balls",,,388,44,250,1,0
"spacer","Components/Peripheral Components","Components","Spacers, Shims",,,,363,297,123,55,0
"spacer","Accessories, Others","Screws, Washers","Spacers, Washers",,,,363,297,123,29,0
"spacer","Accessories, Others","Screws, Washers","Spacers, Washers",,,110200134420,363,297,123,12,16
"spacer","Punches & Dies","Punches","Components for Punches","Punch Spacers And Shims",,,363,297,123,6,0
"spacer","Leader Components, Components for Ejector Space","Components for Positioning","Tapered Pin Spacer",,,,363,297,123,5,0
"spacer","Components/Peripheral Components","Components","Spacers, Shims",,,110100142540,363,297,123,4,5
"spacer","Components/Peripheral Components","Components","Spacers, Shims",,,110100142450,363,297,123,3,3
"spacer","Accessories, Others","Screws, Washers","Spacers, Washers",,,110200173010,363,297,123,2,2
"spacer","Punches & Dies","Button Dies","Spacers, Collars For Button Dies",,,,363,297,123,2,0
"spacer","Guide Components","Holder Guide Post Sets","Components For Holder Guide Post Sets","Spacers For Holder Guide Post Set",,,363,297,123,2,0
"spacer","Components/Peripheral Components","Components","Spacers, Shims",,,110100142630,363,297,123,1,1
"spacer","Components/Peripheral Components","Components","Spacers, Shims",,,110100142970,363,297,123,1,1
"spacer","Components/Peripheral Components","Components","Spacers, Shims",,,110100143060,363,297,123,1,1
"spacer","Accessories, Others","Screws, Washers","Spacers, Washers",,,110300231730,363,297,123,1,1
"spacer","Accessories, Others","Screws, Washers","Spacers, Washers",,,110200134850,363,297,123,1,1
"spacer","Leader Components, Components for Ejector Space","Components for Positioning","Tapered Pin Spacer",,,110200096960,363,297,123,1,1
"washer","Adjusting, Fastening,  Magnets","Washers, Collars",,,,,361,125,252,148,0
"washer","Adjusting, Fastening,  Magnets","Screws, Washers, Nuts",,,,,361,125,252,22,0
"washer","Pipe, Tubes, Hoses & Fittings","Seal Materials","Seal Washers, Others",,,,361,125,252,13,0
"washer","Springs, Shock Absorbers","Urethane, Rubber, Sponge, Felt","Urethane Washers",,,,361,125,252,11,0
"washer","Linear Motion","Oil Free Bushings, Washers",,,,,361,125,252,8,0
"washer","Rotary Motion","Bearing Nuts, Washers",,,,,361,125,252,7,0
"washer","Springs, Shock Absorbers","Urethane, Rubber, Sponge, Felt","Rubber Washers",,,,361,125,252,7,0
"washer","Springs, Shock Absorbers","Urethane, Rubber, Sponge, Felt","Urethane Washers",,,110300271450,361,125,252,6,15
"washer","Springs, Shock Absorbers","Springs","Spring Related Components","Washers for Coil Springs",,,361,125,252,6,0
"washer","Springs, Shock Absorbers","Urethane, Rubber, Sponge, Felt","Urethane Cushions","Metal Washer Attached Type",,,361,125,252,6,0
"washer","Accessories, Others","Screws, Washers",,,,,361,125,252,3,0
"washer","Components/Peripheral Components","Components","Washers",,,,361,125,252,3,0
"washer","Springs, Shock Absorbers","Urethane, Rubber, Sponge, Felt","Sponge Washers",,,,361,125,252,2,0
"washer","Springs, Shock Absorbers","Springs","Spring Related Components","Washers for Coil Springs",,110300268560,361,125,252,2,2
"washer","Pipe, Tubes, Hoses & Fittings","Seal Materials","Seal Washers, Others",,,110302359370,361,125,252,2,1
"washer","Rotary Motion","Bearing Nuts, Washers",,,,110300113860,361,125,252,1,1
"washer","Linear Motion","Oil Free Bushings, Washers",,,,110300031870,361,125,252,1,1
"washer","Springs, Shock Absorbers","Urethane, Rubber, Sponge, Felt","Sponge Washers",,,110300271970,361,125,252,1,2
"washer","Guide Components","Holder Guide Post Sets","Components For Holder Guide Post Sets","Washers For Preventing Dowel Pin Fall-Out",,,361,125,252,1,0
"washer","Antivibration, Soundproofing Materials, Safety Products","Sound Proofing, Antivibration","Antivibration Materials","Washers with Antivibration Gel",,,361,125,252,1,0
"washer","Components/Peripheral Components","Components for Automobile Dies","Die Clamping And Adjustment Components","Washers For Die Fastening",,,361,125,252,1,0
"spring","Springs, Shock Absorbers","Springs",,,,,348,126,221,70,0
"spring","Guide Components","Stripper Guide Pins and Bushings","Components For Stripper Guide Pins & Bushings","Springs For Ball Cages",,,348,126,221,28,0
"spring","Guide Components","Guide Posts and Bushings for Die Sets","Components For Guide Posts & Bushings For Die Sets","Roller Guide Post Springs",,,348,126,221,22,0
"spring","Springs",,,,,,348,126,221,17,0
"spring","Doors, Cabinet Hardware","Handles, Hinges","Hinges","Damper Hinges, Spring Hinges",,,348,126,221,10,0
"spring","Springs, Shock Absorbers",,,,,,348,126,221,10,0
"spring","Doors, Cabinet Hardware","Fasteners, Draw Latches","Stainless Steel - Spring Tension Type",,,,348,126,221,9,0
"spring","Locating, Positioning, Jigs & Fixtures","Plungers, Index Plungers","Plungers","Spring Plungers",,,348,126,221,7,0
"spring","Locating, Positioning, Jigs & Fixtures","Clamp","Work-piece Clamps","Spring Clamp",,,348,126,221,6,0
"spring","Accessories, Others","Coil Springs",,,,,348,126,221,5,0
"spring","Accessories, Others","Spring Guide Pins",,,,,348,126,221,5,0
"spring","Adjusting, Fastening,  Magnets","Retaining Rings, Pins, Machine Keys","Dowel Pins, Spring Pins, Stepped Dowel Pins",,,,348,126,221,5,0
"spring","Guide Components","Guide Posts and Bushings for Die Sets","Components For Guide Posts & Bushings For Die Sets","Roller Guide Post Springs",,110100158820,348,126,221,4,4
"spring","Accessories, Others","Gas Springs",,,,,348,126,221,3,0
"spring","Locating, Positioning, Jigs & Fixtures","Plungers, Index Plungers","Plungers","Spring Plungers",,110302244410,348,126,221,2,2
"spring","Locating, Positioning, Jigs & Fixtures","Plungers, Index Plungers","Plungers","Spring Plungers",,110300142740,348,126,221,2,3
"spring","Components/Peripheral Components","Components for Guide Lifters","Plungers","Spring Plungers",,,348,126,221,2,0
"spring","Adjusting, Fastening,  Magnets","Screws, Washers, Nuts","Screws, Washers, Nuts (Box)","Springs, Hex Socket Head Cap Screws with Captured Flat Washers",,,348,126,221,2,0
"spring","Guide Components","Guide Posts and Bushings for Die Sets","Components For Guide Posts & Bushings For Die Sets","Springs For Ball Guide Bushings For Lower Die Sets",,,348,126,221,2,0
"spring","Components/Peripheral Components","Components for Automobile Dies","Link Components For Hemming Dies","Tension Springs",,110100169140,348,126,221,2,1
"spring","Springs","Coil Springs",,,,,348,126,221,2,0
"spring","Guide Components","Holder Guide Post Sets","Components For Holder Guide Post Sets","Springs For Ball Guide Post Sets",,,348,126,221,2,0
"spring","Locating, Positioning, Jigs & Fixtures","Plungers, Index Plungers","Plungers","Spring Plungers",,110300144230,348,126,221,1,1
"spring","Locating, Positioning, Jigs & Fixtures","Plungers, Index Plungers","Plungers","Spring Plungers",,110300143960,348,126,221,1,1
"spring","Components/Peripheral Components","Components for Guide Lifters","Plungers","Spring Plungers",,110100150240,348,126,221,1,2
